date,classification,closed_pnl_sum,closed_pnl_mean,notional_sum,win_mean
2023-01-05,Fear,0.0,0.0,477.0,0.0
2023-05-12,Neutral,0.0,0.0,50005.83,0.0
2023-12-14,Greed,-205.43473700000007,-18.675885181818188,113203.35,0.36363636363636365
2023-12-15,Greed,-24.632033999999997,-12.316016999999999,10609.95,0.0
2023-12-16,Greed,0.0,0.0,15348.77,0.0
2023-12-17,Greed,304.982785,21.78448464285714,116278.02,0.5
2023-12-18,Greed,0.0,0.0,31164.179999999997,0.0
2023-12-19,Greed,1000.5386120000001,66.70257413333334,91602.41,0.6666666666666666
2023-12-20,Greed,162.732282,9.040682333333333,141636.79,0.4444444444444444
2023-12-21,Greed,537.211402,10.963498000000001,125233.97,0.5306122448979592
2023-12-22,Greed,141.832675,14.1832675,88874.28,0.2
2023-12-23,Greed,146.936704,11.302823384615383,78438.25,0.6153846153846154
2023-12-24,Greed,1008.619956,25.862050153846155,402954.94,0.38461538461538464
2023-12-25,Greed,-245.081348,-81.69378266666666,59948.51,0.0
2023-12-27,Greed,-704.8892269999999,-25.174615249999995,171411.06,0.14285714285714285
2023-12-28,Greed,-970.730876,-42.20569026086957,100117.25,0.0
2023-12-29,Greed,508.92214299999995,10.178442859999999,569559.72,0.3
2023-12-30,Greed,354.998648,6.826897076923077,702550.21,0.4423076923076923
2024-01-01,Greed,-129.53146,-7.196192222222223,264239.52999999997,0.05555555555555555
2024-01-02,Greed,0.0,0.0,2008.18,0.0
2024-01-03,Greed,8244.241409,60.176944591240876,472974.7,0.9343065693430657
2024-01-04,Greed,2507.963406,32.57095332467532,339470.47,0.5454545454545454
2024-01-05,Greed,0.0,0.0,87025.45,0.0
2024-01-06,Greed,91.510419,3.66041676,12834.62,0.36
2024-01-07,Greed,5065.839308,79.1537391875,362670.14999999997,0.40625
2024-01-08,Greed,167.080017,2.9312283684210527,227774.53,0.07017543859649122
2024-01-09,Extreme Greed,137.433093,11.452757750000002,12359.68,0.4166666666666667
2024-01-10,Greed,0.0,0.0,139954.32,0.0
2024-01-11,Extreme Greed,1040.475736,45.238075478260875,260981.03,0.2608695652173913
2024-01-12,Greed,40886.364494,98.28453003365385,814711.82,0.53125
2024-01-15,Neutral,152.85358,10.918112857142857,50636.1,0.6428571428571429
2024-01-16,Greed,-2299.171458,-255.4634953333333,116427.33,0.3333333333333333
2024-01-17,Greed,813.2741110000001,15.344794547169812,800831.03,0.20754716981132076
2024-01-18,Greed,68.93319,1.4985476086956522,424631.52999999997,0.06521739130434782
2024-01-19,Neutral,-385.419235,-8.029567395833334,428428.97,0.125
2024-01-20,Neutral,-146.57487000000003,-1.3827817924528305,1070090.51,0.14150943396226415
2024-01-21,Greed,266.58114600000005,24.234649636363642,103129.74,0.2727272727272727
2024-01-22,Greed,1375.640959,16.18401128235294,337878.99,0.27058823529411763
2024-01-23,Neutral,-369.2447299999998,-8.20543844444444,414518.93000000005,0.24444444444444444
2024-01-24,Neutral,-2808.353815,-41.29932080882353,965084.59,0.14705882352941177
2024-01-25,Neutral,-3093.6293849999997,-515.6048975,66566.13,0.0
2024-01-26,Neutral,90.2,18.04,11773.21,0.2
2024-01-28,Neutral,-2478.06972,-225.27906545454545,18109.03,0.0
2024-01-29,Greed,486.562542,6.5751694864864865,414208.18,0.6081081081081081
2024-01-30,Greed,-173.65419100000003,-3.5439630816326537,401011.38,0.10204081632653061
2024-01-31,Greed,-799.840817,-0.93113017112922,6305647.13,0.2689173457508731
2024-02-01,Greed,783.979116,46.11641858823529,121348.74,0.47058823529411764
2024-02-02,Greed,456.423473,10.867225547619048,474278.43,0.30952380952380953
2024-02-03,Greed,230.90060000000005,7.448406451612905,63197.56,0.6774193548387096
2024-02-04,Greed,883.760812,21.555141756097562,239664.50999999998,0.2926829268292683
2024-02-06,Greed,192.906947,2.074268247311828,29464.51,0.3655913978494624
2024-02-07,Greed,2421.253116,134.514062,33347.47,0.7222222222222222
2024-02-08,Greed,782.3681909999999,12.418542714285714,396320.37,0.2698412698412698
2024-02-09,Greed,0.0,0.0,30000.42,0.0
2024-02-10,Greed,0.0,0.0,99954.34,0.0
2024-02-11,Greed,0.0,0.0,40000.0,0.0
2024-02-12,Greed,18489.604313,68.48001597407408,585243.56,0.4074074074074074
2024-02-13,Extreme Greed,559.44389,39.960277857142856,1999.99,1.0
2024-02-14,Greed,3830.599833,34.509908405405405,320839.88,0.7477477477477478
2024-02-15,Greed,1840.797677,29.219010746031746,185188.04,0.9047619047619048
2024-02-16,Greed,5491.768834,30.174554032967034,564896.51,0.8021978021978022
2024-02-17,Extreme Greed,1929.6418,20.52810425531915,406118.07,0.648936170212766
2024-02-18,Greed,477.6248299999999,4.923967319587628,157048.17,0.6288659793814433
2024-02-19,Extreme Greed,4317.768563,42.750183792079206,286377.2,0.7623762376237624
2024-02-20,Greed,3263.628824,83.68279035897436,119419.72,0.7948717948717948
2024-02-21,Extreme Greed,1858.7985700000002,84.49084409090909,108047.51999999999,0.6818181818181818
2024-02-22,Greed,3894.1050699999996,44.25119397727272,373033.87,0.45454545454545453
2024-02-23,Extreme Greed,1418.55293,9.91995055944056,111106.14,0.958041958041958
2024-02-25,Greed,-30.7705,-6.1541,4480.13,0.0
2024-02-26,Greed,4416.8473,113.25249487179488,192187.14,0.8717948717948718
2024-02-27,Extreme Greed,888.511733,14.103360841269842,209362.3,0.4126984126984127
2024-02-28,Extreme Greed,2503.747235,55.63882744444444,171107.13,0.8666666666666667
2024-02-29,Extreme Greed,9813.996992,84.60342234482759,395666.73,0.8620689655172413
2024-03-01,Extreme Greed,866.015507,12.925604582089552,394499.36,0.417910447761194
2024-03-02,Extreme Greed,223.30918699999998,3.9876640535714283,603820.0,0.10714285714285714
2024-03-03,Extreme Greed,8361.086245,105.83653474683545,390745.68,0.6835443037974683
2024-03-04,Extreme Greed,126.7884,31.6971,16887.57,0.25
2024-03-05,Extreme Greed,5306.017045,147.3893623611111,282682.64999999997,0.4722222222222222
2024-03-06,Extreme Greed,562.808208,8.040117257142859,21466.86,0.6285714285714286
2024-03-07,Extreme Greed,1118.387284,62.132626888888886,179600.66,0.2222222222222222
2024-03-08,Extreme Greed,464.1897,12.545667567567568,290532.86,0.02702702702702703
2024-03-10,Extreme Greed,100.375782,11.152864666666666,132935.69,0.3333333333333333
2024-03-11,Extreme Greed,0.0,0.0,129055.66,0.0
2024-03-12,Extreme Greed,23576.539285,63.03887509358289,1084666.53,0.4304812834224599
2024-03-13,Extreme Greed,0.0,0.0,6000.799999999999,0.0
2024-03-14,Extreme Greed,3465.865832,192.5481017777778,205933.18,0.8888888888888888
2024-03-15,Extreme Greed,6236.513651,100.58892985483871,351894.41,0.6612903225806451
2024-03-16,Extreme Greed,228.57984,28.57248,37223.66,0.125
2024-03-17,Extreme Greed,503.293955,21.882345869565217,99506.95,0.43478260869565216
2024-03-18,Extreme Greed,1456.9577,76.68198421052631,90458.08,0.3157894736842105
2024-03-19,Extreme Greed,668.797973,27.86658220833333,219884.84,0.20833333333333334
2024-03-20,Greed,6423.134599,93.08890723188406,215705.85,0.8695652173913043
2024-03-21,Extreme Greed,2335.5080749999997,83.41100267857142,117895.57,0.8214285714285714
2024-03-24,Greed,1297.018477,68.26413036842105,92592.20999999999,0.7894736842105263
2024-03-25,Extreme Greed,1302.916428,186.13091828571427,57116.32,0.8571428571428571
2024-03-26,Extreme Greed,3215.906593,27.253445703389833,198565.19,0.9322033898305084
2024-03-27,Extreme Greed,150.41114,3.9581878947368416,99864.79,0.3157894736842105
2024-03-28,Extreme Greed,227.85100799999998,17.527000615384615,35323.72,0.6923076923076923
2024-03-29,Extreme Greed,883.097404,58.873160266666666,86914.37,0.4
2024-03-30,Extreme Greed,1100.57514,24.45722533333333,101103.92,0.9777777777777777
2024-03-31,Extreme Greed,912.786145,70.21431884615384,39912.96,0.7692307692307693
2024-04-01,Extreme Greed,-67.60364,-13.520728,99792.54000000001,0.0
2024-04-02,Extreme Greed,47.62389499999999,1.360682714285714,203187.53,0.2571428571428571
2024-04-03,Greed,27799.775742,92.66591914,1577996.87,0.8866666666666667
2024-04-04,Greed,0.0,0.0,95987.73,0.0
2024-04-05,Extreme Greed,0.0,0.0,58998.75,0.0
2024-04-06,Extreme Greed,52.211438,0.9851214716981133,24243.41,0.4716981132075472
2024-04-07,Extreme Greed,0.0,0.0,430568.01,0.0
2024-04-08,Extreme Greed,-122672.000883,-965.9212667952756,1207744.07,0.023622047244094488
2024-04-09,Extreme Greed,1065.785132,31.346621529411763,131480.97,0.14705882352941177
2024-04-10,Extreme Greed,0.0,0.0,0.34,0.0
2024-04-11,Extreme Greed,2799.410474,77.76140205555555,451811.97,0.6388888888888888
2024-04-12,Extreme Greed,292891.815021,918.1561599404388,769287.65,0.46394984326018807
2024-04-13,Greed,6621.451755,74.3983343258427,486411.25,0.6853932584269663
2024-04-14,Greed,-36104.012520000004,-337.4206777570094,659162.17,0.308411214953271
2024-04-15,Greed,3774.08872,92.05094439024391,291111.19,0.8536585365853658
2024-04-16,Greed,2467.702221,52.504302574468085,181907.17,0.9148936170212766
2024-04-17,Greed,2441.4683999999997,174.39059999999998,97562.99,0.9285714285714286
2024-04-19,Greed,1946.4454620000001,55.61272748571429,337257.92000000004,0.7714285714285715
2024-04-20,Greed,0.0,0.0,60733.24,0.0
2024-04-22,Greed,0.0,0.0,47993.61,0.0
2024-04-23,Greed,1119.536196,16.962669636363636,233054.9,0.5303030303030303
2024-04-24,Greed,279.185907,13.95929535,141275.24,0.3
2024-04-25,Greed,0.0,0.0,120241.01,0.0
2024-04-26,Greed,0.0,0.0,4988.290000000001,0.0
2024-04-27,Greed,4281.488139,158.57363477777778,154264.47,0.7037037037037037
2024-04-28,Greed,0.0,0.0,43985.6,0.0
2024-04-29,Greed,526.9338359999999,11.709640799999999,108699.01,0.37777777777777777
2024-04-30,Greed,0.0,0.0,125018.75,0.0
2024-05-01,Neutral,164.141565,2.486993409090909,1703942.66,0.19696969696969696
